,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
18,BBCBreaking,Wed Sep 05 10:09:08 +0000 2018,19,-0.4767,0.0,0.846,0.154,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY"
19,BBCBreaking,Wed Sep 05 10:01:06 +0000 2018,20,0.7351,0.321,0.545,0.133,"Rachael Bland, BBC presenter who won praise for her honest portrayal of cancer in her blog and podcast, dies aged 4… https://t.co/90T6zvn51D"
20,BBCBreaking,Tue Sep 04 16:23:45 +0000 2018,21,0.1779,0.082,0.918,0.0,UK Labour’s ruling body the NEC to adopt in full an international definition of anti-Semitism after months of rows https://t.co/crqNidbgLk
21,BBCBreaking,Tue Sep 04 04:05:29 +0000 2018,22,-0.7906,0.0,0.682,0.318,"Founder of Afghan militant network Jalaluddin Haqqani is dead after years of illness, the Taliban announces https://t.co/WL9DGkEoDd"
22,BBCBreaking,Mon Sep 03 12:16:16 +0000 2018,23,0.0,0.0,1.0,0.0,"2018 was joint-hottest summer on record for UK as a whole and the hottest for England, Met Office says https://t.co/dbKp5lDVPR"
23,BBCBreaking,Mon Sep 03 07:14:50 +0000 2018,24,-0.0516,0.0,0.941,0.059,Chris Evans reveals live on air he is to leave Radio 2 breakfast show after eight years at the helm https://t.co/xgzFkesyme
24,BBCBreaking,Mon Sep 03 04:08:27 +0000 2018,25,-0.6249,0.0,0.785,0.215,Myanmar jails two Reuters journalists for seven years over their investigation into violence against Rohingyas https://t.co/csKrk4XPxD
25,BBCBreaking,Mon Sep 03 00:43:10 +0000 2018,26,0.0258,0.109,0.786,0.105,"One of Latin America's largest natural history museums, in Brazil's Rio de Janeiro, has been hit by a massive fire https://t.co/hXegQI4Lsk"
26,BBCBreaking,Sun Sep 02 21:45:33 +0000 2018,27,-0.34,0.0,0.882,0.118,"Up in flames - dramatic images of fire at the Littlewoods Pools building, one of Liverpool's most famous landmarks https://t.co/sXBSryMSmE"
27,BBCBreaking,Fri Aug 31 21:55:30 +0000 2018,28,-0.7003,0.0,0.721,0.279,"Janbaz Tarin, 21, charged with murders of Raneem Oudeh and her mother Khaola Saleem in Solihull https://t.co/rKisbSWW2S"
28,BBCBreaking,Fri Aug 31 20:16:13 +0000 2018,29,0.4215,0.141,0.859,0.0,"The United States is ending all funding for the UN's Palestinian refugee agency, the State Department says https://t.co/V2RJe5Mtft"
29,BBCBreaking,Fri Aug 31 19:54:02 +0000 2018,30,0.0,0.0,1.0,0.0,"US-Canada trade talks break up without deal but negotiations will continue next week, US official confirms https://t.co/rb1dDmFCam"
30,BBCBreaking,Fri Aug 31 15:53:33 +0000 2018,31,-0.6705,0.0,0.78,0.22,"Leader of pro-Russian self-declared Donetsk republic in eastern Ukraine killed in cafe blast, his government says https://t.co/aNFtUbsJhI"
31,BBCBreaking,Fri Aug 31 14:16:56 +0000 2018,32,-0.836,0.0,0.717,0.283,Naa'imur Zakariyah Rahman jailed for life with minimum term of 30 years for plot to kill UK PM in Downing Street https://t.co/EfFMkw3ZjF
32,BBCBreaking,Fri Aug 31 09:15:51 +0000 2018,33,0.0,0.0,1.0,0.0,London’s new Crossrail underground line will not open until autumn 2019 - nine months after its scheduled launch https://t.co/ngGSraTbFT
33,BBCBreaking,Fri Aug 31 06:08:23 +0000 2018,34,0.0,0.0,1.0,0.0,Coca-Cola is to buy the Costa Coffee chain from Whitbread for £3.9bn https://t.co/f49WFwsGMa
34,BBCBreaking,Fri Aug 31 00:23:31 +0000 2018,35,-0.875,0.0,0.583,0.417,"A man, 21, is arrested in Birmingham on suspicion of murdering a mother and her daughter in Solihull https://t.co/jkYhhXCCGq"
35,BBCBreaking,Thu Aug 30 16:22:13 +0000 2018,36,-0.926,0.0,0.491,0.509,French actor Gerard Depardieu accused of rape and sexual assault - judicial sources. He denies the claims https://t.co/zrYcCpV2qz
36,BBCBreaking,Thu Aug 30 16:09:23 +0000 2018,37,0.296,0.152,0.758,0.091,UK payday lender Wonga enters administration amid surge in compensation claims over interest charged to customers https://t.co/jJpFbK1iFg
37,BBCBreaking,Thu Aug 30 15:32:45 +0000 2018,38,-0.3182,0.0,0.881,0.119,"Veteran MP Frank Field resigns Labour whip, saying the party's leadership has become ""a force for anti-Semitism"" https://t.co/eoozL8vNI5"
38,BBCBreaking,Thu Aug 30 10:02:06 +0000 2018,39,-0.4588,0.185,0.556,0.259,"Unmarried NI mother wins access to widowed parent's allowance after death of her partner, in landmark court ruling https://t.co/NPn0Vj8lon"
39,BBCBreaking,Wed Aug 29 19:56:56 +0000 2018,40,-0.34,0.13,0.625,0.245,"Ex-SNP leader Alex Salmond resigns from the party amid sexual misconduct claims, which he denies https://t.co/2mxGt8ARaE"
40,BBCBreaking,Wed Aug 29 10:17:34 +0000 2018,41,-0.8689,0.11,0.394,0.496,Charity worker Nazanin Zaghari-Ratcliffe taken to prison doctors in Iran after suffering panic attacks https://t.co/9mjFsoDtUC
41,BBCBreaking,Wed Aug 29 09:28:43 +0000 2018,42,0.296,0.163,0.737,0.1,"After facing protests and slumping approval ratings, Russian President Vladimir Putin softens reforms to pensions https://t.co/YrCYRK2oC9"
42,BBCBreaking,Sun Aug 26 23:33:34 +0000 2018,43,-0.8555,0.0,0.693,0.307,"Police give death toll in shooting at Jacksonville, Florida as two, plus the gunman who killed himself at the scene https://t.co/lz5XpqA7Dj"
43,BBCBreaking,Sun Aug 26 20:35:54 +0000 2018,44,-0.296,0.0,0.872,0.128,Florida police say the only suspect in the Jacksonville shooting is deceased at the scene https://t.co/jBXsEJvGM3
44,BBCBreaking,Sun Aug 26 18:53:23 +0000 2018,45,-0.2732,0.158,0.621,0.22,"Police report fatalities in mass shooting at entertainment complex in Jacksonville, Florida https://t.co/tKF7FXMwhb"
45,BBCBreaking,Sun Aug 26 18:42:23 +0000 2018,46,0.4215,0.167,0.833,0.0,"Police in Jacksonville, Florida say are responding to a mass shooting at an entertainment complex https://t.co/iiQ1KcYL9P"
46,BBCBreaking,Sun Aug 26 14:31:14 +0000 2018,47,0.264,0.143,0.768,0.089,"Charity worker Nazanin Zaghari-Ratcliffe has not been granted extension to temporary release in Iran, husband says https://t.co/A6NODNmwyO"
47,BBCBreaking,Sun Aug 26 00:25:40 +0000 2018,48,-0.5994,0.156,0.519,0.325,"John McCain, Vietnam war hero turned senator and presidential candidate, has died aged 81 https://t.co/QKtuXtbG6P"
48,BBCBreaking,Sat Aug 25 09:29:59 +0000 2018,49,0.0,0.0,1.0,0.0,"Pope Francis lands in Ireland

Follow live reporting: https://t.co/ASSLPyq5B9 #PopeInIreland"
49,BBCBreaking,Fri Aug 24 15:15:44 +0000 2018,50,-0.7184,0.0,0.739,0.261,"US Republican senator John McCain is discontinuing treatment for an aggressive form of brain cancer, his family says https://t.co/vKpSPZfQ6T"
50,BBCBreaking,Fri Aug 24 02:56:55 +0000 2018,51,-0.0772,0.124,0.737,0.138,Scott Morrison is Australia's new PM after Malcolm Turnbull is forced out by party rivals - media reports https://t.co/50FBR7T5qd
51,BBCBreaking,Fri Aug 24 02:44:28 +0000 2018,52,0.1027,0.129,0.762,0.11,Australia loses another PM to a party coup as Malcolm Turnbull is ousted by his rivals - media reports https://t.co/HtvOWXtChD
52,BBCBreaking,Thu Aug 23 20:22:22 +0000 2018,53,-0.5994,0.0,0.83,0.17,Thomas Cook to remove all its customers from a hotel in Egypt as a precaution after the death of a British couple https://t.co/F97jQaYIjq
53,BBCBreaking,Thu Aug 23 13:24:00 +0000 2018,54,-0.5106,0.0,0.798,0.202,UK mother Nazanin Zaghari-Ratcliffe gets three days temporary release from prison in Iran https://t.co/ROTDgakNkz
54,BBCBreaking,Thu Aug 23 10:45:39 +0000 2018,55,-0.8689,0.0,0.659,0.341,"Paris incident that saw two people killed, before knifeman was shot dead by police, was ""family quarrel"" - interior… https://t.co/FwNBDRbRCC"
55,BBCBreaking,Thu Aug 23 09:53:52 +0000 2018,56,-0.8316,0.0,0.658,0.342,"Knifeman in Paris kills two and injures others, before being shot dead by police - reports 

https://t.co/JSfD9p1RI7 #Trappes"
56,BBCBreaking,Thu Aug 23 02:20:15 +0000 2018,57,0.1027,0.204,0.663,0.133,Australia's parliament is adjourned as PM Malcolm Turnbull battles a leadership challenge within his own party https://t.co/WzMWrQXTmq
57,BBCBreaking,Tue Aug 21 21:13:54 +0000 2018,58,-0.743,0.0,0.741,0.259,"Trump's former lawyer Michael Cohen pleads guilty to violating campaign finance laws, says he did so at direction o… https://t.co/7uhG4OgWCN"
58,BBCBreaking,Tue Aug 21 20:42:50 +0000 2018,59,-0.8689,0.096,0.496,0.408,"Ex-Trump campaign chief Paul Manafort guilty of tax fraud charges, jury fails to reach verdict on 10 other counts https://t.co/MGE9MXVJHP"
59,BBCBreaking,Tue Aug 21 18:06:27 +0000 2018,60,0.0,0.0,1.0,0.0,Former Trump lawyer Michael Cohen has entered into a plea deal with US federal prosecutors in New York - US media https://t.co/rsFDlL3y0e
60,BBCBreaking,Tue Aug 21 17:29:32 +0000 2018,61,0.1779,0.144,0.746,0.109,"Oscar-winning Danny Boyle will no longer direct 25th Bond film due to ""creative differences"", producers say https://t.co/aDCEisxObU"
61,BBCBreaking,Tue Aug 21 11:32:11 +0000 2018,62,-0.3612,0.055,0.822,0.123,Some 18 members of UK's Windrush generation who could have been wrongfully removed or detained to get formal apology https://t.co/IzAdAWOI6B
62,BBCBreaking,Tue Aug 21 11:02:33 +0000 2018,63,0.0,0.0,1.0,0.0,"""My involvement in the events around Hillsborough has often been misrepresented""

Sir Norman Bettison says he's bee… https://t.co/bmngLKJhsZ"
63,BBCBreaking,Tue Aug 21 09:47:46 +0000 2018,64,-0.891,0.0,0.528,0.472,"Charges are dropped against ex-police chief Sir Norman Bettison, accused of blaming fans for Hillsborough disaster https://t.co/EfY2DZyaVP"
64,BBCBreaking,Sat Aug 18 09:37:01 +0000 2018,65,0.8885,0.396,0.604,0.0,"Kofi Annan, the former UN secretary-general who won the Nobel Peace Prize for humanitarian work, dies aged 80 https://t.co/lNj6TEmNPo"
65,BBCBreaking,Fri Aug 17 14:04:14 +0000 2018,66,-0.8402,0.0,0.68,0.32,"At least 324 people die in monsoon floods in India's southern state of Kerala, the worst in a century… https://t.co/hC2AGYrMNB"
66,BBCBreaking,Fri Aug 17 12:57:57 +0000 2018,67,0.0,0.0,1.0,0.0,Former cricket star Imran Khan elected as prime minister of Pakistan in a vote at the National Assembly… https://t.co/oicoE4TKNT
67,BBCBreaking,Thu Aug 16 14:42:45 +0000 2018,68,0.0,0.0,1.0,0.0,Aretha Franklin: The 'Queen of Soul' in her own words https://t.co/MxfBq9n0Id https://t.co/rT4RAMHHti
68,BBCBreaking,Thu Aug 16 14:21:20 +0000 2018,69,0.5719,0.252,0.748,0.0,Aretha Franklin: Celebrating the life of the 'Queen of Soul' https://t.co/6EH1t1As1N https://t.co/NTX2mg6IGw
69,BBCBreaking,Thu Aug 16 14:07:50 +0000 2018,70,0.8442,0.402,0.598,0.0,"'Queen of Soul' Aretha Franklin, whose stunning voice graced hits like Respect and I Say A Little Prayer, dies aged… https://t.co/OJ5yn1WInk"
70,BBCBreaking,Thu Aug 16 12:13:20 +0000 2018,71,0.0,0.0,1.0,0.0,Three-time Indian Prime Minister AB Vajpayee dies aged 93 https://t.co/fCCnzRBUvI
71,BBCBreaking,Thu Aug 16 08:31:49 +0000 2018,72,0.0,0.0,1.0,0.0,More than one in four A-levels were graded A or A* this year - the highest proportion for six years https://t.co/QX6Vjsfr7w
72,BBCBreaking,Wed Aug 15 18:54:35 +0000 2018,73,0.0516,0.122,0.765,0.112,"President Trump revokes the security clearance of ex-CIA director John Brennan, one of his frequent critics https://t.co/xXNyrXhLOu"
73,BBCBreaking,Wed Aug 15 13:33:39 +0000 2018,74,0.0,0.0,1.0,0.0,"Sir Cliff Richard ""welcomes"" decision by BBC not to appeal against ruling over its coverage of a police raid on his… https://t.co/X8abVJtsfK"
74,BBCBreaking,Wed Aug 15 13:02:06 +0000 2018,75,0.0,0.0,1.0,0.0,The BBC will not appeal against a ruling over its coverage of a police raid at Sir Cliff Richard's home in 2014 https://t.co/b4jzZf92ah
75,BBCBreaking,Wed Aug 15 08:32:42 +0000 2018,76,0.3182,0.126,0.874,0.0,"UK inflation rate picks up to 2.5% in July, first increase since November, official figures show https://t.co/SMASwGV8wE"
76,BBCBreaking,Tue Aug 14 13:32:19 +0000 2018,77,-0.8271,0.0,0.661,0.339,"At least 22 people killed after collapse of motorway bridge in Genoa, Italian minister says

Latest:… https://t.co/sjLkK7wkXs"
77,BBCBreaking,Tue Aug 14 11:46:23 +0000 2018,78,-0.069,0.13,0.725,0.145,England cricketer Ben Stokes found not guilty of affray after fight outside Bristol nightclub https://t.co/0wyhalCFaf
78,BBCBreaking,Tue Aug 14 11:38:32 +0000 2018,79,-0.5719,0.0,0.761,0.239,"Genoa motorway bridge collapse likely to be ""immense tragedy"", Italian transport minister says, with unconfirmed re… https://t.co/1SveRUzb1Z"
79,BBCBreaking,Tue Aug 14 10:54:15 +0000 2018,80,-0.8481,0.105,0.442,0.452,"#Westminster car attack: No other suspects identified and ""no intelligence at this time"" of further danger to Londo… https://t.co/lJl8nQBQW9"
80,BBCBreaking,Tue Aug 14 10:07:42 +0000 2018,81,0.0,0.0,1.0,0.0,"Rooftop camera shows moment car crashes into barriers outside Parliament

https://t.co/CprbiGZgrg #Westminster https://t.co/0noYclQNaR"
81,BBCBreaking,Tue Aug 14 09:36:07 +0000 2018,82,-0.8481,0.0,0.521,0.479,"#Westminster car crash is being treated as terror attack, London police say

https://t.co/CprbiGZgrg"
82,BBCBreaking,Tue Aug 14 08:37:59 +0000 2018,83,-0.6705,0.0,0.784,0.216,"UK unemployment fell by 65,000 to 1.36 million in three months to June - lowest for more than 40 years, figures show https://t.co/zfUxeY4uEa"
83,BBCBreaking,Tue Aug 14 08:24:27 +0000 2018,84,-0.4215,0.071,0.761,0.168,"London #Westminster incident update:

- Man arrested after car crashes into barriers outside Parliament
- Number of… https://t.co/gKtsnfyf54"
84,BBCBreaking,Tue Aug 14 07:19:06 +0000 2018,85,0.0,0.181,0.686,0.132,"A number of pedestrians have been injured after car crashed into security barriers outside Parliament, London polic… https://t.co/y0FUgD2jL6"
85,BBCBreaking,Tue Aug 14 07:04:16 +0000 2018,86,-0.1779,0.145,0.667,0.188,Man arrested after car crashes into security barriers outside Houses of Parliament https://t.co/TNPrEKUPHM
86,BBCBreaking,Mon Aug 13 14:30:12 +0000 2018,87,-0.5719,0.0,0.793,0.207,"Dr Hadiza Bawa-Garba's case has exposed a ""raft of concerns"" around the role of criminal law in medicine, chief exe… https://t.co/XWrdrwypUJ"
87,BBCBreaking,Mon Aug 13 14:10:12 +0000 2018,88,-0.7096,0.0,0.742,0.258,"Doctor struck off over death of six-year-old Jack Adcock will be allowed to practise medicine again, UK court rules"
88,BBCBreaking,Sun Aug 12 07:37:03 +0000 2018,89,0.0,0.0,1.0,0.0,Lift off! Nasa launches the Parker Solar Probe on its mission to 'touch' the Sun https://t.co/dPxdBaG0Ic https://t.co/2Oo5TGLNFw
89,BBCBreaking,Sat Aug 11 16:36:19 +0000 2018,90,-0.93,0.0,0.537,0.463,Two men arrested in the murder investigation of a seven-year-old boy who died in a house fire in London on Tuesday https://t.co/7mrVvlJG07
90,BBCBreaking,Sat Aug 11 04:36:40 +0000 2018,91,0.0,0.0,1.0,0.0,All flights at Seattle airport are grounded after a passenger plane reportedly took off without permission https://t.co/Wv6BwdzAPI
91,BBCBreaking,Fri Aug 10 13:21:18 +0000 2018,92,-0.7717,0.0,0.621,0.379,"Canada shooting: Suspect in custody after four killed in Fredericton, New Brunswick https://t.co/3uzkeWvgQY"
92,BBCBreaking,Fri Aug 10 11:41:18 +0000 2018,93,-0.5994,0.0,0.804,0.196,"""Multiple fatalities"" in shooting in eastern Canada, police say - Fredericton residents told to stay in homes https://t.co/8EIpgxp8aI"
93,BBCBreaking,Fri Aug 10 09:05:48 +0000 2018,94,-0.25,0.087,0.777,0.136,Mike Ashley's Sports Direct agrees to buy struggling UK department store chain House of Fraser for £90m https://t.co/DZWM5fuT5o
94,BBCBreaking,Fri Aug 10 08:33:11 +0000 2018,95,0.3818,0.191,0.809,0.0,UK economic growth picks up to 0.4% between April and June https://t.co/1oMJQ64NqP
95,BBCBreaking,Fri Aug 10 06:23:14 +0000 2018,96,-0.7351,0.049,0.67,0.281,Struggling department store House of Fraser calls in administrators as investors and creditors fail to reach a deal https://t.co/uyQzu8AM3B
96,BBCBreaking,Thu Aug 09 14:49:08 +0000 2018,97,-0.296,0.0,0.905,0.095,"UK TV presenter Ant McPartlin to take break until 2019, missing next series of I'm A Celebrity &amp; Ant and Dec's Satu… https://t.co/lrEtx3xTN2"
97,BBCBreaking,Thu Aug 09 11:12:31 +0000 2018,98,0.0,0.121,0.759,0.121,Ex-UK foreign secretary Boris Johnson to be investigated by panel after complaints to Tory party over burka comments https://t.co/r027nO6hZr
98,BBCBreaking,Thu Aug 09 11:01:16 +0000 2018,99,0.0,0.0,1.0,0.0,"Two Roman Catholic schools in England ""prioritised monks and reputation over protection of children"", report says https://t.co/th3Y5wCXrV"
99,BBCBreaking,Thu Aug 09 06:21:14 +0000 2018,100,-0.296,0.139,0.672,0.189,"Indonesian island of Lombok hit by strong magnitude 5.9 earthquake, following Sunday's tremor which killed at least… https://t.co/eKSIBdDjJr"
100,CBSNews,Mon Sep 10 04:18:04 +0000 2018,1,-0.5267,0.0,0.764,0.236,"Serena Williams fined $17,000 for code violations at U.S. Open https://t.co/ynGHvQVfXZ https://t.co/yEfQ5CukGl"
101,CBSNews,Mon Sep 10 04:03:03 +0000 2018,2,0.0,0.0,1.0,0.0,Passage: Remembering Burt Reynolds https://t.co/kwYdyGUFqz https://t.co/uLOzPGwcuS
102,CBSNews,Mon Sep 10 03:54:05 +0000 2018,3,-0.6597,0.0,0.747,0.253,"Stand Up To Cancer raises record $123M in pledges from U.S., Canada https://t.co/NUlISqgm4L https://t.co/zCjPg6qpoa"
103,CBSNews,Mon Sep 10 03:48:04 +0000 2018,4,0.25,0.208,0.649,0.143,Teen accused of pushing friend off bridge appears in court https://t.co/g6yLo6LFnU https://t.co/pynS3ZlSex
104,CBSNews,Mon Sep 10 03:33:04 +0000 2018,5,0.0,0.0,1.0,0.0,Why parents opt for unusual baby names https://t.co/hr863LifHW https://t.co/zn67uTlkRp
105,CBSNews,Mon Sep 10 03:18:04 +0000 2018,6,-0.6597,0.0,0.722,0.278,Serena Williams' U.S. Open loss may be the grossest example of sports sexism yet https://t.co/0wHefVWXEi https://t.co/bwaFYU0qJe
106,CBSNews,Mon Sep 10 03:08:06 +0000 2018,7,-0.5423,0.0,0.759,0.241,Dallas officer faces manslaughter charge in fatal shooting of neighbor https://t.co/DVq053ZjxC https://t.co/3g5sq8upEY
107,CBSNews,Mon Sep 10 03:03:03 +0000 2018,8,-0.4588,0.0,0.667,0.333,Almanac: When Japan attacked Oregon https://t.co/wmErcgMy9M https://t.co/DCRNAgQcz2
108,CBSNews,Mon Sep 10 02:39:57 +0000 2018,9,0.4588,0.143,0.857,0.0,Hurricane Florence strengthens Sunday as it moved across the Atlantic toward a possible direct hit on the U.S. Sout… https://t.co/GanVirYRAA
109,CBSNews,Mon Sep 10 02:04:43 +0000 2018,10,-0.7906,0.0,0.652,0.348,"7 people, including two British tourists, have been injured in a Paris stabbing attack. The suspect was taken into… https://t.co/q00SDM9V1c"
110,CBSNews,Mon Sep 10 01:39:57 +0000 2018,11,0.4019,0.124,0.876,0.0,VP Mike Pence says he's willing to sit for an interview with special counsel Robert Mueller on @FaceTheNation Sunda… https://t.co/TIQergzgQr
111,CBSNews,Mon Sep 10 01:19:32 +0000 2018,12,0.3612,0.18,0.711,0.109,Novak Djokovic defeats Juan Martin del Potro to win the mens U.S. Open final Sunday https://t.co/QOkofn0kvW https://t.co/ITN4wDMXTw
112,CBSNews,Mon Sep 10 00:54:44 +0000 2018,13,0.0772,0.11,0.793,0.097,"Amid Moonves departure, National Amusements, Inc. confirmed that it has no plans to propose a merger of CBS and Via… https://t.co/tvWOi6RRyV"
113,CBSNews,Mon Sep 10 00:31:54 +0000 2018,14,0.4522,0.129,0.871,0.0,JUST IN: CBS and Moonves will donate $20 million to one or more organizations that support the #MeToo movement and… https://t.co/VWrunrluXN
114,CBSNews,Sun Sep 09 23:57:29 +0000 2018,15,0.4767,0.154,0.846,0.0,"BREAKING: Leslie Moonves will depart as Chairman, President and CEO of CBS Corp, effective immediately. COO Joseph… https://t.co/k8usdp1O98"
115,CBSNews,Sun Sep 09 23:39:41 +0000 2018,16,0.4588,0.188,0.812,0.0,"Paul McCartney gives ""secret concert"" at NYC's Grand Central--to a star-studded audience--promoting new album… https://t.co/TWsBhID6aB"
116,CBSNews,Sun Sep 09 23:20:00 +0000 2018,17,0.4404,0.139,0.861,0.0,Colin Kaepernick thanks the 2 Miami Dolphins players who knelt during the national anthem at the NFL's opening Sund… https://t.co/WfDMcTXX8J
117,CBSNews,Sun Sep 09 23:03:05 +0000 2018,18,0.7964,0.504,0.496,0.0,9/11 heroes honored with wind chime memorial https://t.co/zyIkMB2L1I https://t.co/CdMdK54PN8
118,CBSNews,Sun Sep 09 23:00:40 +0000 2018,19,0.4404,0.132,0.868,0.0,"""People better wake up to what's going on"": Reporter Bob Woodward speaks with @CBSSunday  in first TV interview abo… https://t.co/74Wd2gzG8G"
119,CBSNews,Sun Sep 09 22:30:24 +0000 2018,20,0.0,0.0,1.0,0.0,"Tropical Storm Isaac forms, one of three storms churning in Atlantic https://t.co/4fYlMauAyT https://t.co/u1LJlDA0mk"
120,CBSNews,Sun Sep 09 22:09:39 +0000 2018,21,0.0,0.0,1.0,0.0,"Leslie Moonves' separation package now consists of $80 million, all of it in stock. It would all go into escrow pen… https://t.co/Y8uN51VLhq"
121,CBSNews,Sun Sep 09 21:49:33 +0000 2018,22,0.0,0.0,1.0,0.0,Sen. Mark Warner: Senate Intel likely won't release Russia report before midterms https://t.co/LffUPTN8kr https://t.co/PJRUJSxEWv
122,CBSNews,Sun Sep 09 21:29:37 +0000 2018,23,0.0,0.0,1.0,0.0,"DNC Chair Tom Perez says ""democracy is on the ballot"" for 2018 midterms https://t.co/bnPksB0zQq https://t.co/HYPjDN56Kq"
123,CBSNews,Sun Sep 09 21:10:24 +0000 2018,24,-0.5106,0.0,0.852,0.148,Vladimir Putin tried to cast his vote for the mayor of Moscow Sunday — and a voting machine rejected his ballot.… https://t.co/jpH77JFy2j
124,CBSNews,Sun Sep 09 20:49:30 +0000 2018,25,-0.6597,0.0,0.735,0.265,Serena Williams' U.S. Open loss Saturday night may be the grossest example of sports sexism yet… https://t.co/PYDYlsetfH
125,CBSNews,Sun Sep 09 20:35:48 +0000 2018,26,0.5267,0.145,0.855,0.0,How does star Argentine polo player Adolfo Cambiaso keep winning with the same horse? He’s cloned her 14 times. 60… https://t.co/rMdp3Atwwy
126,CBSNews,Sun Sep 09 19:49:47 +0000 2018,27,-0.8548,0.0,0.561,0.439,Six more women accuse CBS CEO Leslie Moonves of sexual assault or harassment https://t.co/AATLmI1qvQ https://t.co/n0pyyJUDdH
127,CBSNews,Sun Sep 09 19:34:48 +0000 2018,28,0.0,0.0,1.0,0.0,There are numerous reports that CBS CEO Leslie Moonves will be stepping down in the next 24 hours. According to sou… https://t.co/HwVHWA7R5N
128,CBSNews,Sun Sep 09 19:19:49 +0000 2018,29,-0.1531,0.0,0.914,0.086,"As Hurricane Florence looms, South Carolina Gov. Henry McMaster tells citizens: ""Pretend, presume and assume that a… https://t.co/AC1vfZx4W9"
